acronym,name,location,submission_deadline,start_date,topics,link
PLP2025,12th Workshop on Probabilistic Logic Programming,"Rende, Italy","Jun 15, 2025","Sep 12, 2025",probabilistic logic programmingstatistical relational artificial intelligence,https://easychair.org/cfp/plp2025
LORI-10,"10th International Conference on Logic, Rationality, and Interaction","Xi’an, China","Mar 17, 2025","Oct 16, 2025",logicartificial intelligencerationalityinteraction,https://easychair.org/cfp/lori10
OVERLAY 2025,"7th International Workshop on Artificial Intelligence and fOrmal VERification, Logic, Automata, and sYnthesis","Bologna, Italy","Jul 19, 2025","Oct 26, 2025",artificial intelligenceformal verificationlogicmachine learning,https://easychair.org/cfp/OVERLAY-2025
LOGICPRIZE-2025,Bimal Krishna Matilal Logic Prize 2025,"Cusco, Peru","Jun 30, 2025",,philosophical logicnon classical logiclogic for computer sciencealgebraic logic,https://easychair.org/cfp/LOGICPRIZE-2025
CSL 2026,34th EACSL Annual Conference on Computer Science Logic,"Paris, France","Jul 21, 2025","Feb 23, 2026",logic in computer scienceformal methods and verificationautomata and gamesrewriting,https://easychair.org/cfp/csl2026
OHAAI-Vol.5,Online Handbook of Argumentation for AI Volume 5,,,,argumentationnatural language processinglogicreasoning,https://easychair.org/cfp/OHAAI-Vol5
JELIA 2025,19th European Conference on Logics in Artificial Intelligence,"Kutaisi, Georgia","Jun 4, 2025","Sep 1, 2025",computer scienceartificial intelligencelogicknowledge representation,https://easychair.org/cfp/JELIA2025
Proof Society 2025,7th International School and Workshop on Proof Theory,"Gent, Belgium","Jun 16, 2025","Sep 1, 2025",mathematical logicproof theorycomputer science,https://easychair.org/cfp/ProofSociety2025
PEG 2025,3rd Prolog Education Workshop 2025,"Rende, Italy","Jun 29, 2025","Sep 12, 2025",teaching prolog and logic programmingteaching other subjects through prologteaching materials and toolsteaching experiences including statistical evaluations,https://easychair.org/cfp/PEG2025
SYNASC 2025,27th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing,"Timisoara, Romania","Jul 6, 2025","Sep 22, 2025",distributed computingsymbolic and numerical computinglogic and programmingartificial intelligence,https://easychair.org/cfp/SYNASC2025
RP 2025,19th International Conference on Reachability Problems,"Madrid, Spain","Jul 4, 2025","Oct 1, 2025",logic and model checkingverification of (in)finite state systemsautomata theory and formal languagesconcurrency and distributed computation,https://easychair.org/cfp/RP2025
2025 IEEE LA-CCI,2025 IEEE Latin American Conference on Computational Intelligence,"Mexico City, Mexico","May 5, 2025","Nov 5, 2025",computational intelligenceartificial neural networksfuzzy logic systemsevolutionary computation and swarm intelligence,https://easychair.org/cfp/2025ieeelacci
LOPSTR2025,International Symposium on Logic-Based Program Synthesis and Transformation,"Rende, Italy",,"Sep 9, 2025",,https://easychair.org/cfp/LOPSTR2025
LPLR2025,Logic Programming and Legal Reasoning,"Rende, Italy","Jun 1, 2025","Sep 12, 2025",legal reasoning,https://easychair.org/cfp/LPLR2025
ICLP25,The 41st International Conference on Logic Programming,"Rende, Italy",,"Sep 12, 2025",,https://easychair.org/cfp/ICLP25
IWLP-4,The Fourth International Workshop on Logic and Philosophy: Social Norms: Logical Structures and Philosophical Foundations,"Beijing, China","Jul 18, 2025","Nov 1, 2025",origin of normsnorms in social networkagency and normsnorms for ai agents,https://easychair.org/cfp/IWLP4
